                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.6946,                 3.0268,                 2.9895,                0.37491,                0.22807,                0.27024,                0.05424,                 2.2792,                 7.1586,                 2.6146,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.6882,                 2.8738,                 2.9608,                0.51464,                0.47368,                0.54481,                0.18793,                 2.2469,                 3.2219,                 2.5492,               0.001307,               0.001307,               0.001307
                     37,                 2.6214,                  3.202,                 2.8402,                0.34283,                 0.5614,                0.39547,                 0.1803,                  2.427,                 2.9502,                 2.6222,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.6608,                 3.1854,                 2.9105,                0.26307,                0.66667,                0.34452,                0.13874,                 2.5525,                 2.9391,                 2.7521,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.5989,                 2.8797,                 2.8753,                 0.1869,                0.50877,                0.21326,                0.07668,                  2.441,                 2.9986,                 2.6747,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.8269,                 3.3857,                 3.0361,                0.15663,                0.22807,                0.13792,                0.04341,                 2.3805,                 3.2827,                 2.6652,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.6161,                 2.8341,                 2.8947,                0.29355,                0.51764,                0.28515,                0.09459,                  2.354,                 2.9263,                 2.5917,               0.001208,               0.001208,               0.001208
                     42,                 2.5452,                 2.6949,                 2.8127,                0.32242,                0.66667,                0.38032,                0.13926,                 2.4148,                 2.6123,                 2.6272,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.5978,                 2.7526,                 2.8653,                0.39624,                0.75439,                0.55276,                0.23275,                 2.3217,                 2.5446,                 2.5297,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.4564,                 2.8021,                 2.7359,                0.31872,                0.82456,                0.44302,                0.16335,                 2.3621,                 2.5621,                 2.5806,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.5732,                 2.6634,                 2.8064,                0.24806,                0.70029,                0.27016,                0.09177,                 2.3622,                 2.6315,                 2.6326,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.6599,                 2.6479,                 2.9246,                0.36343,                0.70175,                0.41097,                 0.1739,                 2.3115,                 2.5055,                 2.5661,               0.001109,               0.001109,               0.001109
                     47,                 2.4846,                 2.5834,                  2.723,                0.40464,                0.68421,                0.50062,                0.21359,                 2.1811,                 2.4422,                 2.4825,              0.0010892,              0.0010892,              0.0010892
                     48,                 2.5821,                 2.5094,                 2.8536,                0.64581,                0.67181,                0.71143,                0.33337,                 2.1268,                 2.6314,                 2.3952,              0.0010694,              0.0010694,              0.0010694
                     49,                 2.5894,                  2.787,                 2.8753,                0.61035,                0.57895,                0.67158,                0.29097,                 2.2023,                 2.6311,                 2.4924,              0.0010496,              0.0010496,              0.0010496
                     50,                 2.3573,                 2.3802,                 2.7776,                0.38417,                0.59649,                 0.4411,                0.20718,                 2.2419,                 2.4909,                 2.5682,              0.0010298,              0.0010298,              0.0010298
                     51,                 2.4815,                 3.1196,                 2.8139,                0.50249,                0.73684,                0.60786,                0.28325,                 2.2075,                  2.446,                 2.5706,                0.00101,                0.00101,                0.00101
                     52,                 2.6844,                 2.5555,                 2.9172,                0.36156,                  0.616,                0.46164,                0.20042,                 2.2191,                 2.3463,                 2.6318,              0.0009902,              0.0009902,              0.0009902
                     53,                 2.4729,                 2.4028,                 2.7795,                0.43515,                0.57895,                0.54596,                 0.2375,                 2.2047,                 2.4936,                 2.5654,              0.0009704,              0.0009704,              0.0009704
                     54,                 2.4612,                 2.5238,                 2.7509,                0.33842,                0.59649,                0.43615,                0.16943,                 2.2146,                 2.6484,                 2.5571,              0.0009506,              0.0009506,              0.0009506
                     55,                 2.5148,                 2.6475,                 2.7294,                0.38102,                0.68421,                0.46811,                0.18995,                 2.0827,                 2.3264,                 2.4884,              0.0009308,              0.0009308,              0.0009308
                     56,                 2.4367,                 2.5677,                 2.7424,                0.64973,                0.68342,                0.73256,                0.36277,                 2.2226,                 2.2654,                 2.4672,               0.000911,               0.000911,               0.000911
                     57,                 2.4218,                 2.5315,                 2.6504,                0.62138,                 0.7193,                0.69637,                0.30091,                 2.3504,                 2.1475,                 2.5003,              0.0008912,              0.0008912,              0.0008912
                     58,                 2.3766,                 2.2022,                 2.7364,                0.57675,                0.68421,                0.65365,                 0.3169,                 2.1374,                 2.1987,                 2.4408,              0.0008714,              0.0008714,              0.0008714
                     59,                 2.5842,                 2.5948,                 2.7945,                0.47716,                0.61404,                0.48296,                0.19405,                  2.147,                 2.5651,                 2.5044,              0.0008516,              0.0008516,              0.0008516
                     60,                 2.3876,                 2.2258,                 2.6805,                0.46104,                0.52632,                0.46954,                0.23048,                 2.1626,                 2.4015,                 2.4632,              0.0008318,              0.0008318,              0.0008318
                     61,                 2.2519,                  2.283,                 2.5397,                0.54962,                0.42105,                0.48761,                0.19914,                 2.1247,                  2.438,                 2.4507,               0.000812,               0.000812,               0.000812
                     62,                 2.5097,                 2.4817,                 2.7402,                0.56949,                0.66667,                 0.7049,                0.31983,                 2.1104,                 2.1006,                 2.4045,              0.0007922,              0.0007922,              0.0007922
                     63,                 2.3446,                 2.1886,                 2.6319,                0.60777,                0.77193,                0.73888,                0.37717,                 2.0217,                 2.1259,                 2.3481,              0.0007724,              0.0007724,              0.0007724
                     64,                 2.2319,                 2.0731,                 2.6396,                0.68614,                0.76712,                0.77079,                0.40718,                  2.009,                 1.9847,                 2.3265,              0.0007526,              0.0007526,              0.0007526
                     65,                 2.2718,                 2.0438,                 2.5237,                0.67269,                0.73684,                0.74025,                0.39032,                 1.9368,                 1.9217,                 2.3043,              0.0007328,              0.0007328,              0.0007328
                     66,                 2.2937,                 2.3029,                 2.5742,                0.63129,                0.59649,                0.72298,                0.34709,                 1.9632,                 2.0109,                 2.3367,               0.000713,               0.000713,               0.000713
                     67,                 2.5436,                 2.8473,                 2.7147,                0.73617,                0.68536,                 0.7747,                0.36302,                 2.0888,                 1.8902,                  2.359,              0.0006932,              0.0006932,              0.0006932
                     68,                 2.2272,                 2.1112,                  2.546,                 0.7409,                0.64912,                 0.7858,                0.38362,                 1.9928,                 1.8563,                 2.3426,              0.0006734,              0.0006734,              0.0006734
                     69,                 2.2415,                 2.1985,                 2.5812,                0.73209,                0.67121,                 0.7673,                 0.4077,                 1.8895,                 1.9552,                 2.3304,              0.0006536,              0.0006536,              0.0006536
                     70,                 2.1625,                 2.0055,                 2.5136,                0.62896,                0.63158,                0.70244,                0.38326,                 1.9185,                 2.1585,                 2.3367,              0.0006338,              0.0006338,              0.0006338
                     71,                  2.253,                 2.1876,                 2.5053,                0.66735,                0.64912,                0.70737,                0.36357,                 1.9372,                  2.223,                 2.3506,               0.000614,               0.000614,               0.000614
                     72,                 2.1925,                 2.1001,                 2.5151,                0.73109,                0.66777,                0.74527,                0.38599,                 1.7867,                 1.9412,                 2.2551,              0.0005942,              0.0005942,              0.0005942
                     73,                 2.2512,                 2.5086,                 2.5739,                0.79781,                0.64912,                0.78904,                 0.3889,                  1.809,                 1.8653,                 2.2599,              0.0005744,              0.0005744,              0.0005744
                     74,                 2.0605,                 2.0349,                  2.461,                0.75364,                0.64912,                0.77037,                0.33437,                 1.9117,                 1.8978,                 2.2666,              0.0005546,              0.0005546,              0.0005546
                     75,                 2.1914,                 2.0377,                 2.4362,                0.53769,                 0.7142,                0.73781,                0.30105,                 1.9022,                 2.1158,                 2.3021,              0.0005348,              0.0005348,              0.0005348
                     76,                 2.2099,                 2.0637,                 2.5679,                0.69783,                0.72935,                0.73146,                0.38441,                 1.9608,                 2.0217,                 2.2976,               0.000515,               0.000515,               0.000515
                     77,                 2.2927,                 2.6713,                 2.6153,                0.57742,                0.69526,                0.65555,                0.32911,                  2.119,                 2.0347,                 2.4203,              0.0004952,              0.0004952,              0.0004952
                     78,                 2.4562,                 2.2922,                  2.781,                0.49682,                0.66667,                0.63197,                0.28046,                 2.1603,                 2.0918,                 2.4866,              0.0004754,              0.0004754,              0.0004754
                     79,                 2.1941,                 2.0423,                 2.4999,                0.52841,                0.68804,                0.66089,                0.33412,                 2.0772,                 2.0306,                 2.4454,              0.0004556,              0.0004556,              0.0004556
                     80,                 2.1226,                  1.957,                 2.5137,                0.74984,                0.73621,                0.78968,                0.42772,                 1.8993,                 1.7509,                 2.2625,              0.0004358,              0.0004358,              0.0004358
